Codigo,NBI93,NBI2005
15248,46.50289017,28.54640981
15272,33.95191222,10.41564792
15276,46.53243848,23.1349539
15293,55.37929045,15.1193634
15296,46.99515347,20.38904899
15299,26.73897831,15.17859403
15317,44.50606586,16.36363636
15322,25.29893014,13.30255374
15325,32.39083751,14.53534551
15332,61.08214575,23.0221519
15362,30.1233118,10.94808126
15367,46.68398533,17.35849057
15368,69.88057604,35.94009983
15377,81.179941,21.60243408
15380,34.58101908,12.62626263
15401,71.02396514,32.44755245
15403,50.50139276,14.64912281
15407,36.49256784,17.51279938
15425,44.13179413,15.47749726
15442,76.35695662,27.71493213
15455,34.71569549,19.36440678
15464,49.67905405,25.10192196
15466,29.46367957,17.812983
15469,41.42978468,13.56906093
15476,41.62411865,42.12271974
15480,49.09451749,32.60059613
15491,14.39992893,12.41140732
15494,39.57281553,16.43835616
15500,39.43483762,41.42857143
15507,60.8436993,30.83116883
15511,49.25801819,20.96774194
15514,48.06237102,23.09758281
15516,24.41110552,10.75273846
15518,51.06288751,24.25373134
15522,54.72299721,16.34782609
15531,59.20581785,36.25801282
15533,91.10169492,53.58024691
15537,32.24583951,11.93633952
15542,49.02740937,19.8938992
15550,84.54157783,46.30350195
15572,39.28358209,29.97584774
15580,58.16766771,26.27013631
15599,50.88924106,16.41514429
15600,64.92065037,51.94388778
15621,52.13114754,26.15740741
15632,60.65367693,15.46666667
15638,44.38291139,29.07542579
15646,40.30504624,19.71278711
15660,53.00625301,22.99703264
15664,41.70518747,15.18324607
15667,52.93405114,17.89473684
15673,57.04499664,22.27106227
15676,35.23809524,23.14814815
15681,51.36426275,34.6740638
15686,40.87382605,26.62694775
15690,47.13064713,21.5283484
15693,29.65968828,7.120346623
15696,47.03023758,11.58455393
15720,57.22145805,32.22416813
15723,39.98893805,18.35205993
15740,50.58341609,35.44642857
15753,54.00455063,23.20028439
15755,70.0916101,29.60893855
15757,38.76674248,13.43537415
15759,20.73555915,7.211371415
15761,43.59772852,8.653846154
15762,48.3992467,30.10989011
15763,36.53614458,24.89331437
15764,54.3485342,37.25761773
15774,60.99498328,34.50937156
15776,60.02457865,15.42810986
15778,39.01752867,15.67267684
15790,41.77795234,26.11898017
15798,29.76262934,10.03430532
15804,50.24619996,25.18370074
15806,22.17484009,10.02871136
15808,58.82597835,15.68627451
15810,66.25287356,30.472103
15814,43.86466759,25.85585586
15816,54.64057353,19.82758621
15820,34.95145631,22.71986971
15822,49.35429534,24.55516014
15832,58.86792453,11.15384615
15835,38.81135479,15.4661017
15837,38.24313516,11.19402985
15839,60.70161608,19.68911917
15842,58.60403863,39.03077931
15861,38.20387471,22.08201893
15879,38.64072349,20.16129032
15897,51.85451927,14.40162272
17001,15.57506162,9.001699842
17013,39.59413311,15.05247421
17042,27.39600792,18.68339237
17050,30.17230294,17.19757793
17088,40.15572001,21.34551495
17174,26.74588963,17.81049806
17272,32.65436935,15.46078565
17380,30.83892353,23.13460159
17388,40.46039797,11.09489051
17433,37.89127424,21.05393328
17442,38.61584754,77.80748663
17444,37.33333333,21.17269649
17446,34.80555556,22.32472325
17486,30.96152205,16.77634554
17495,60.84,24.16992188
17513,32.30548187,15.06086374
17524,36.59709193,18.57441666
17541,36.55684569,20.55599509
17614,68.03188059,11.10774811
17616,32.95172778,15.95718198
17653,29.47372929,15.62264778
17662,56.29855716,21.67760459
17665,35.2,18.14488829
17777,36.3264335,18.61554673
17867,46.28691983,17.83707865
17873,19.26468836,9.243152608
17877,31.01791742,20.46098621
18001,36.23235386,24.84299613
18029,57.40472245,30.472103
18094,54.39753738,36.35204082
18150,76.01595843,38.6972771
18205,67.10197811,41.24541625
18247,40.66807756,36.74864853
18256,54.95803797,44.95008126
18410,71.75998215,41.54054054
18460,79.12658315,42.91433147
18479,49.84301413,36.87810945
18592,74.77996965,36.32092727
18610,64.87654321,38.99844893
18753,81.48606408,53.34298584
18756,77.56331448,100
18785,64.7,38.10511757
18860,62.99678024,41.03612815
19001,22.16906073,14.91764287
19022,76.90659811,50.81761006
19050,83.64874672,100
19075,61.66204673,40.1188946
19100,66.7664196,22.75267064
19110,61.07084245,25.52521008
19130,66.60003076,22.03389831
19137,80.90882141,27.49266862
19142,50.84783226,13.95
19212,60.81039282,21.22766904
19256,67.4720652,33.76981392
